# RID	GitHub release asset	SHA-256
# Hashes are copied from jq-1.8.2/sha256sum.txt in the official jqlang/jq release.
win-x64	jq-windows-amd64.exe	a6fc67fedaf9128a3309a1e2ebb8b986aeccf70122ee46d2cb4849e423f0c627
win-arm64	jq-windows-arm64.exe	083b5377392bc57cf27052b6d20a2d927770683bca844632901ff38b4b7b0ac7
linux-x64	jq-linux-amd64	b1c22172dd303f3be49e935aa56aa48a8b7a46e0bc838b4997d3bb451495870f
linux-arm64	jq-linux-arm64	8b85c817833814ddca00a144c33705546355afccf0cf39b188f3cdb48b852309
linux-musl-x64	jq-linux-amd64	b1c22172dd303f3be49e935aa56aa48a8b7a46e0bc838b4997d3bb451495870f
linux-musl-arm64	jq-linux-arm64	8b85c817833814ddca00a144c33705546355afccf0cf39b188f3cdb48b852309
osx-x64	jq-macos-amd64	e94b266e3c26690550006abe63152b782280f4e14374accdf04cbde844f00bc0
osx-arm64	jq-macos-arm64	2d75340ba57a4b4b4c8708a21c2dc8e958a48aaa8bba13b27f77f6e4c0eca07e
